ID,Created,Name,Description,Playlist URL
354c0886862a46d1a382d0b0c9ad7918,2025-02-15T02:44:28Z,Wedding PARTAY,Songs you would like to hear at a wedding reception (interpret it however you'd like),https://open.spotify.com/playlist/7At1IoAQEvmDXKd0Hw13KS
9b108eb4edeb40c881460d6ccab2fea8,2025-02-27T07:53:01Z,BIOLOGY,"Songs with a body part in the title 
Nap - ""we allowed to put songs with titles that allude to body parts without explicitly stating said body part
For example, Captain Hook by Meg the stallion
She’s referring to curved male genitals without explicitly saying it in the title""",https://open.spotify.com/playlist/0M58MMDhUvVxZsQDM1oDTY
d32689257c92471e97c28bfa8a09a54e,2025-03-18T00:45:07Z,2000s club bangers,,https://open.spotify.com/playlist/7CABQdiCFsKDYGvVm48t4y
b7370ce7b9c4483a94cc01a236d089cd,2025-03-27T02:25:10Z,Separating the Artist from the Art,"Amazing songs by not-so-amazing (controversial) people. Justify your pick on the comment section! Submissions must be from different artists. If someone else has picked a different song from the same artist, that's okay.",https://open.spotify.com/playlist/3Y8yrfOoXf87ZwP4S3psb7
a812fe0b98c440ec8626ea99056abc6b,2025-04-05T05:15:24Z,No ingles,"Non-english songs! Excluding Popular Spanish Songs: Avoid major Spanish-language hits (from artists like Shakira, Bad Bunny, etc.), especially those played heavily on the radio.

No Japanese or Korean: Exclude songs in Japanese and Korean.",https://open.spotify.com/playlist/5RdkkgQXJyanOqZ5rMCjI6
85947c14f72744cd9cd8ec0bccf30f79,2025-04-15T20:42:43Z,When the edibles kick in,"In the spirit of 4/20 🌿🌿 Songs to listen to, blaze to, trip to, breathe to, roll to, feel to, sleep to, dream to...",https://open.spotify.com/playlist/0MpHEQSRQjW5acqCmnlycY
5aa3c2af021849a6b435498c0a463a51,2025-04-29T01:58:47Z,Spring,Songs that make you think of spring,https://open.spotify.com/playlist/6dqCw1LzcNE1qpvb0gZWYU
80d36445ad63499ba2aaddfab0cdccf7,2025-05-09T01:42:32Z,Fuck tha Police,Songs you can see yourself breaking the law to. Can be a general vibe OR unlawful lyrics.,https://open.spotify.com/playlist/0GhsFVQF7gJDFVyVhcFVL0
c9faae2fb05d4560a8d346196357614c,2025-05-19T05:13:34Z,Late Night Drive,"Chill vibey songs you would listen to on a late night drive, can be sentimental, can be something that gets you in your feelings",https://open.spotify.com/playlist/1dAk41LhOul1J9dJWkv7xY
