ID,Created,Name,Description,Playlist URL
9b944adec9844f76b3a8c48ed0c9a812,2025-06-05T07:14:07Z,₊✩‧₊˚౨ she was a fairy ৎ˚₊✩‧₊,songs that make you feel like a magical fairy,https://open.spotify.com/playlist/2LvvmwJhkkku3Dx2eluIqD
07921e9b60ff49918205306d64ff36ff,2025-06-15T20:05:03Z,"""Underrated""",Songs that are not in an artist's top 10 popular songs on their Spotify page.,https://open.spotify.com/playlist/18IIa1P7yGC2qhSJRbBTFU
eec4b6556e484694a77240850dfe20b6,2025-07-03T01:20:25Z,Vulnerable,Song where the artist discusses or shows vulnerability,https://open.spotify.com/playlist/4yDnOhT9osyMJ2OA7ULqZz
